name,ftype,tier,lat,lon
North Bank General Hospital,General Hospital,Tier3 provincial hospital,7.75573,8.54398
Nyihemba Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,6.82542,9.49337
Obagaji Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.889696,7.911486
Obarike General Hospital,General Hospital,Tier3 provincial hospital,7.02997,8.32172
Oju General Hospital,General Hospital,Tier3 provincial hospital,6.84543,8.41735
Okpoga General Hospital,General Hospital,Tier3 provincial hospital,7.03984,7.80617
Opaha Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.6054,8.0224
Otukpo General Hospital,General Hospital,Tier3 provincial hospital,7.252115,8.174284
Sankera General Hospital,General Hospital,Tier3 provincial hospital,7.53333,9.65
Shiriki Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.020762,8.54881
Taatihi Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,6.9,9.17438
Tachia Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.59662,9.54528
Tiza Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.45984,9.64509
Tooanyiin Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.276082,9.242034
Tordonga Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.231319,9.623537
Tornajime Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.57044,9.59029
Tse-Agberagba Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.078482,8.665239
Tse-Agberagba General Hospital,General Hospital,Tier3 provincial hospital,7.07848,8.66515
Tsekpum Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,6.85388,9.11088
Tse-Kwange Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,6.702492,9.188851
Tse-Ule Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.54648,9.77379
Tsua Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,6.74498,9.12668
Tyam Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,6.88324,9.0643
Tyough Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.13333,8.51666
Uande Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,6.822181,9.490665
Uboagera Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.101045,8.651991
Udei Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,8.09734,8.520014
Ugabikyo Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.00687,8.70535
Ugba Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.503984,9.349011
Ugba Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.51005,9.3447
Ugbokolo Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.15487,7.79374
Ugbokpo General Hospital,General Hospital,Tier3 provincial hospital,7.65651,7.88353
Ugeembalav Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,6.627503,9.420644
Ukpe Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.024145,8.964705
Ukwonyo Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,6.940908,8.054362
Ukyongo Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.6685,9.5916
Usambe Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,6.78057,9.44635
Ushongo Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.065208,9.019833
Uzunghul Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.5823,9.02205
Vandeikya General Hospital,General Hospital,Tier3 provincial hospital,6.82754,9.05982
Waapera Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.182074,9.022165
Wannune General Hospital,General Hospital,Tier3 provincial hospital,7.55801,8.88219
Wende Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.59584,9.32939
Yaakur Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.04735,8.930315
