name,type,state,lat,lon
Etwa,CHC,UTTARPRADESH,27.33010100004642,82.69728299957563
Bengenagarah CHC,CHC,ASSAM,27.350217000132105,94.54335000008768
Manada,CHC,ORISSA,22.080550000033774,86.23915999964385
Sriganj,CHC,UTTARPRADESH,27.37474000017319,82.30160300062744
CHC Likabali,CHC,ASSAM,27.39540000004434,94.42084000024116
Nandnagar Khajuria,CHC,UTTARPRADESH,27.407784000098843,82.37488799988375
Gogamukh CHC,CHC,ASSAM,27.42928299997401,94.31751699976714
MG Kothalguri Model Hospital,CHC,ASSAM,27.48999999980359,95.8099999999682
CHC Ruksin,CHC,ASSAM,27.507730000620143,95.13186999989313
CHC Gainsari,CHC,UTTARPRADESH,27.528980000272643,82.54832999968463
CHC Basar,CHC,ASSAM,27.588740000653623,94.41157000005836
Dangori CHC,CHC,ASSAM,27.69736699923176,95.57263300060714
Jonai CHC,CHC,ASSAM,27.83798300018288,95.2112829996922
Gosaba RH,CHC,WEST BENGAL,22.173382999845515,88.80473300006632
Satgawan,CHC,JHARKHAND,24.61908100018076,85.91895500008815
KAMALNAGAR,CHC,KARNATAKA,18.23709999996727,77.18129999943508
ARUDESAM,CHC,TAMILNADU,8.302299999257178,77.16160000005156
HULLHALLI,CHC,KARNATAKA,12.09829999965391,76.55469999971415
RH Uran,CHC,MAHARASHTRA,18.87723459934866,72.92833900018655
Sarsa,CHC,GUJARAT,22.54617527934216,73.06503960932119
Kairon CHC,CHC,PUNJAB,31.333333000027704,74.86666700063263
MACHRA,CHC,UTTARPRADESH,28.892793000281465,77.89097199970239
Kasdol,CHC,CHATTISGARH,21.63489999953049,82.42026333051099
Haripal RH,CHC,WEST BENGAL,22.82931699944834,88.11478300072045
Nawadih,CHC,JHARKHAND,23.67999999962036,85.98000000084745
Owk,CHC,ANDHRA PRADESH,15.208364000588023,78.11795700044159
CHC RAMAYAMPET,CHC,TELANGANA,18.096844000323813,78.32609319954646
Rui,CHC,MAHARASHTRA,18.10527500012918,74.36422999969567
Chitrakonda,CHC,ORISSA,18.10999999927653,82.11000000057768
RH Goregaon,CHC,MAHARASHTRA,18.156951999830667,73.29570099949663
SANTHPUR,CHC,KARNATAKA,18.161199999900347,77.43949999923005
Jejuri,CHC,MAHARASHTRA,18.164145999891463,74.94266000005899
Podia,CHC,ORISSA,18.174119999481285,81.54365999982186
Velhe,CHC,MAHARASHTRA,18.175495000488507,73.38172499971223
Venpakal CHC,CHC,KERALA,8.381429935702522,77.06015276004425
MEGNANAPURAM,CHC,TAMILNADU,8.473234000110386,77.99840410000016
MUDALUR,CHC,TAMILNADU,8.417338699835124,77.94533890038501
Perumkadavilla CHC,CHC,KERALA,8.43784995015476,77.10520139945379
Malainkeezhu CHC,CHC,KERALA,8.481238914729769,77.04505701995393
Pulluvilla CHC,CHC,KERALA,8.503249999491384,77.08522000011257
KAYAMOZHI,CHC,TAMILNADU,8.5112009000395,78.04642429989424
Vilappil CHC,CHC,KERALA,8.516719108407306,77.04129866014634
MUNAINJIPATTI,CHC,TAMILNADU,8.520213900001782,77.79785739931987
Vellanad CHC,CHC,KERALA,8.558444939837605,77.05403575937216
Arynad CHC,CHC,KERALA,8.578000026302188,77.08612622955434
Andoorkonam CHC,CHC,KERALA,8.599479514957947,76.87279402033593
REDDIARPATTY,CHC,TAMILNADU,8.673796699788076,77.74334389987108
CHC Palode,CHC,KERALA,8.713838104013226,77.02829652018247
Usoor,CHC,CHATTISGARH,18.485467189265822,80.7493817402833
Waghai,CHC,GUJARAT,20.76948680918752,73.50176388962069
Taharabad,CHC,MAHARASHTRA,20.780710000185667,74.14563999962832
Simar,CHC,GUJARAT,20.786987999810467,71.14746300006045
Amalsad,CHC,GUJARAT,20.814135839673032,72.95558336034655
Dolasa,CHC,GUJARAT,20.82090999973748,70.85658299989825
Mandir,CHC,GUJARAT,20.893457520006457,72.91798678969953
Khadsupa,CHC,GUJARAT,20.91321357987638,73.02443153999042
Gir Gadhada,CHC,GUJARAT,20.9220599998369,70.91613700030518
Subir,CHC,GUJARAT,20.92850030085884,73.77224156954394
Manamboor CHC,CHC,KERALA,8.723875492918836,76.78734160016931
Kallara CHC,CHC,KERALA,8.741716776214593,76.93954356030461
Kesavapuram CHC,CHC,KERALA,8.75703179193409,76.85619250979332
Kalakode CHC,CHC,KERALA,8.808376379632662,76.68768663929096
Pallikkal CHC,CHC,KERALA,8.822827489124355,76.80789119021593
Nilamel CHC,CHC,KERALA,8.824844349327488,76.87784544031632
Velinalloor CHC,CHC,KERALA,8.872765066496811,76.77841547956886
Palathara CHC,CHC,KERALA,8.874481934393613,76.62471156053304
OTTANATHAMI,CHC,TAMILNADU,8.902145000700754,77.89459499956634
Nedumoncavu CHC,CHC,KERALA,8.926986288219341,76.73827678985553
Anchal CHC,CHC,KERALA,8.927002885007566,76.90873295943356
Thekkumbhagam CHC,CHC,KERALA,8.960555829521187,76.5616531396763
Mynagappally CHC,CHC,KERALA,9.04117924932866,76.58002230023774
Kulakkada CHC,CHC,KERALA,9.052996845785758,76.74836153055995
Sooranadu CHC,CHC,KERALA,9.079132407851263,76.65358217049629
Pathanapuram CHC,CHC,KERALA,9.090516614652431,76.85784288026028
KEELAIRALI,CHC,TAMILNADU,9.09921399934398,78.01031360021933
Enadimangalam CHC,CHC,KERALA,9.120880291419567,76.82098796050843
Oachira CHC,CHC,KERALA,9.123636188577994,76.52041433982833
KURUVIKULAM,CHC,TAMILNADU,9.176309400018068,77.66946020042735
Chunakara CHC,CHC,KERALA,9.177790999945405,76.60514199922373
PERILOVANPATTI,CHC,TAMILNADU,9.191144999613906,78.085303399764
Kurathicad CHC,CHC,KERALA,9.20447599977207,76.56008599991706
NAGALAPURAM,CHC,TAMILNADU,9.22817820053108,78.13744660001254
Thrikkunnapuzha CHC,CHC,KERALA,9.25713099995537,76.41090000039753
UPPATHUR,CHC,TAMILNADU,9.25799000030859,77.96703109986234
Elanthoor CHC,CHC,KERALA,9.297284042956909,76.73180941029001
Vallana CHC,CHC,KERALA,9.297500752234534,76.66755078990802
Mannar CHC,CHC,KERALA,9.30918500008659,76.53846699966067
Pandanad CHC,CHC,KERALA,9.315536000387072,76.5637699998804
PERAIYUR,CHC,TAMILNADU,9.356699999899032,78.45330000043182
Kanjeetukara CHC,CHC,KERALA,9.36205616449782,76.7253752396439
Ranni Perunad CHC,CHC,KERALA,9.365900877026249,76.85543712994563
THAYILPATTI,CHC,TAMILNADU,9.373050800175283,77.80263720019938
Chathenkery CHC,CHC,KERALA,9.383152000231668,76.52583300008003
BOGALUR,CHC,TAMILNADU,9.409000000103967,78.69860000050738
Champakulam CHC,CHC,KERALA,9.410949000036307,76.41025400031715
M.REDDIYAPATTI,CHC,TAMILNADU,9.4176569999659,78.21133380019091
Ezhumattoor CHC,CHC,KERALA,9.421361167446497,76.70565594983796
Veliyanad CHC,CHC,KERALA,9.423410999578158,76.48932699945931
Chempumpuram CHC,CHC,KERALA,9.436478999986482,76.39973199925826
CHC Kunnamthanam,CHC,KERALA,9.43977942143108,76.61341024940562
KANNICHERIPUTHUR,CHC,TAMILNADU,9.469377499807935,77.91014939967778
CHC Erumely,CHC,KERALA,9.47876666746239,76.84608332952327
CHC Karuckachal,CHC,KERALA,9.502466666471276,76.63341667042076
CHC Sachivothamapuram,CHC,KERALA,9.508049999858624,76.52684999988116
CHC Vakathanam,CHC,KERALA,9.525016667371125,76.57051667015934
CHC Thottackadu,CHC,KERALA,9.529516666435272,76.60951666979157
CHC Koottickal,CHC,KERALA,9.585033332733644,76.88528333007038
CHC Kumarakom,CHC,KERALA,9.587716666756435,76.43776667018452
SALAIGRAMMAM,CHC,TAMILNADU,9.607400000323665,78.71509999962622
CHC Ayarkunnam,CHC,KERALA,9.632916666631417,76.60591667039212
CHC Paika,CHC,KERALA,9.651849999590787,76.72468333026262
KALLIGUDI,CHC,TAMILNADU,9.69490700018378,77.97413299993721
Vandanmedu CHC,CHC,KERALA,9.70951899994158,77.1458819996589
CHC Kadaplamattom,CHC,KERALA,9.740549999697595,76.56031667021402
Thycattussery CHC,CHC,KERALA,9.771379999924418,76.34346800042601
MARAVAMANGALAM,CHC,TAMILNADU,9.773500000426068,78.63570000024592
CHC Thalayoraparampu,CHC,KERALA,9.781849999463567,76.45268333022462
